!def(mpq_out_str),
!def(mpz_tstbit),
!def(DISABLE_DEBUG),
def(MPS_CATCH_FPE),
!def(mpf_pow_ui),
True,
!def(HAVE_GETLINE),
!def(mpf_swap),
!def(mpq_swap),
!def(mpz_swap),
