!def(mpz_swap),
!def(mpz_tstbit),
!def(NOMPTEMP),
!def(DISABLE_DEBUG),
!def(mpf_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpf_pow_ui),
!def(mpq_out_str),
True,
!def(mpq_swap),
