!def(DISABLE_DEBUG),
!def(mpq_out_str),
!def(mpq_swap),
!def(mpz_tstbit),
!def(mpz_swap),
def(MPS_CATCH_FPE),
!def(mpf_pow_ui),
True,
!def(mpf_swap),
!def(HAVE_GETLINE),
