(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(DISABLE_DEBUG),
!def(mpq_out_str),
!def(mpz_swap),
!def(mpz_tstbit),
!def(mpq_swap),
!def(NOMPTEMP),
!def(mpf_swap),
!def(mpf_pow_ui),
