!def(mpz_tstbit),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_swap),
True,
!def(mpf_swap),
!def(NOMPTEMP),
!def(mpf_pow_ui),
!def(mpq_swap),
!def(DISABLE_DEBUG),
!def(mpq_out_str),
