!def(mpq_out_str),
!def(DISABLE_DEBUG),
def(MPS_CATCH_FPE),
True,
!def(mpz_tstbit),
!def(mpz_swap),
!def(mpf_swap),
!def(mpf_pow_ui),
!def(mpq_swap),
