!def(mpz_swap),
!def(mpf_swap),
def(MPS_CATCH_FPE),
!def(mpq_out_str),
!def(mpq_swap),
!def(mpf_pow_ui),
True,
!def(mpz_tstbit),
!def(DISABLE_DEBUG),
