!def(mpq_out_str),
def(MPS_CATCH_FPE),
!def(mpf_swap),
!def(mpq_swap),
!def(mpf_pow_ui),
!def(DISABLE_DEBUG),
True,
!def(mpz_tstbit),
!def(mpz_swap),
