!def(mpq_swap),
!def(mpf_swap),
!def(mpz_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_tstbit),
!def(mpf_pow_ui),
!def(mpq_out_str),
True,
!def(NOMPTEMP),
