!def(mpz_swap),
!def(DISABLE_DEBUG),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_out_str),
True,
!def(NOMPTEMP),
!def(mpq_swap),
!def(mpf_swap),
!def(mpz_tstbit),
!def(mpf_pow_ui),
