!def(mpf_pow_ui),
!def(mpz_tstbit),
!def(NOMPTEMP),
!def(mpq_swap),
!def(mpf_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpq_out_str),
!def(DISABLE_DEBUG),
!def(mpz_swap),
