!def(mpz_tstbit),
!def(mpq_swap),
!def(mpq_out_str),
!def(mpf_pow_ui),
!def(mpz_swap),
!def(mpf_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(DISABLE_DEBUG),
True,
!def(NOMPTEMP),
