!def(mpf_pow_ui),
!def(mpz_tstbit),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_swap),
!def(DISABLE_DEBUG),
!def(mpq_swap),
!def(NOMPTEMP),
!def(mpq_out_str),
True,
!def(mpf_swap),
