!def(mpf_swap),
!def(mpq_out_str),
!def(mpz_swap),
!def(mpz_tstbit),
!def(mpq_swap),
!def(DISABLE_DEBUG),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpf_pow_ui),
True,
!def(NOMPTEMP),
