!def(mpq_out_str),
!def(mpz_swap),
!def(mpf_pow_ui),
def(MPS_CATCH_FPE),
!def(HAVE_GETLINE),
!def(mpf_swap),
True,
!def(mpz_tstbit),
!def(DISABLE_DEBUG),
!def(mpq_swap),
