!def(mpq_swap),
!def(NOMPTEMP),
!def(mpz_tstbit),
!def(DISABLE_DEBUG),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpz_swap),
!def(mpf_swap),
!def(mpf_pow_ui),
!def(mpq_out_str),
