!def(HAVE_GETLINE),
!def(mpz_tstbit),
!def(mpq_out_str),
!def(mpz_swap),
!def(mpf_swap),
!def(mpf_pow_ui),
def(MPS_CATCH_FPE),
True,
!def(DISABLE_DEBUG),
!def(mpq_swap),
