!def(DISABLE_DEBUG),
!def(mpf_swap),
!def(HAVE_GETLINE),
!def(mpq_swap),
!def(mpz_swap),
!def(HAVE_FMEMOPEN),
!def(mpq_out_str),
def(NICE_DEBUG),
!def(mpf_pow_ui),
!def(mpz_tstbit),
def(MPS_CATCH_FPE),
(def(HAVE_VSNPRINTF)&!def(vsnprintf)),
True,
