!def(NOMPTEMP),
!def(mpf_pow_ui),
!def(mpq_swap),
!def(mpz_tstbit),
!def(mpq_out_str),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpf_swap),
!def(mpz_swap),
