!def(mpq_out_str),
!def(mpz_swap),
!def(mpf_pow_ui),
!def(mpf_swap),
!def(DISABLE_DEBUG),
def(MPS_CATCH_FPE),
!def(mpq_swap),
True,
!def(HAVE_GETLINE),
!def(mpz_tstbit),
