!def(mpq_out_str),
!def(DISABLE_DEBUG),
!def(mpz_tstbit),
!def(mpq_swap),
!def(mpf_pow_ui),
!def(mpf_swap),
def(MPS_CATCH_FPE),
!def(HAVE_GETLINE),
!def(mpz_swap),
True,
