!def(HAVE_GETLINE),
!def(mpf_pow_ui),
!def(mpf_swap),
!def(mpz_swap),
def(MPS_CATCH_FPE),
True,
!def(mpq_swap),
!def(mpz_tstbit),
!def(mpq_out_str),
!def(DISABLE_DEBUG),
