!def(mpq_swap),
!def(NOMPTEMP),
!def(mpf_pow_ui),
!def(mpq_out_str),
!def(mpf_swap),
!def(mpz_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpz_tstbit),
