!def(mpq_out_str),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_swap),
!def(mpf_pow_ui),
True,
!def(DISABLE_DEBUG),
!def(mpz_tstbit),
!def(mpf_swap),
!def(NOMPTEMP),
!def(mpz_swap),
