!def(mpf_swap),
!def(mpf_pow_ui),
!def(mpq_swap),
def(MPS_CATCH_FPE),
!def(mpq_out_str),
!def(mpz_swap),
True,
!def(mpz_tstbit),
!def(DISABLE_DEBUG),
