!def(mpf_pow_ui),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_swap),
!def(mpq_out_str),
True,
!def(mpq_swap),
!def(mpz_tstbit),
!def(NOMPTEMP),
!def(DISABLE_DEBUG),
!def(mpf_swap),
