!def(mpf_swap),
!def(mpq_out_str),
!def(mpz_swap),
!def(NOMPTEMP),
!def(DISABLE_DEBUG),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpz_tstbit),
!def(mpf_pow_ui),
!def(mpq_swap),
