!def(HAVE_GETLINE),
!def(mpz_swap),
!def(mpf_swap),
!def(mpq_out_str),
!def(mpq_swap),
!def(DISABLE_DEBUG),
def(MPS_CATCH_FPE),
!def(mpf_pow_ui),
True,
!def(mpz_tstbit),
