!def(mpz_swap),
!def(NOMPTEMP),
!def(DISABLE_DEBUG),
!def(mpz_tstbit),
!def(mpq_out_str),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_swap),
!def(mpf_pow_ui),
True,
!def(mpf_swap),
