(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_swap),
!def(mpq_out_str),
True,
!def(NOMPTEMP),
!def(mpq_swap),
!def(mpf_swap),
!def(mpf_pow_ui),
!def(mpz_tstbit),
