!def(mpz_swap),
!def(mpf_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_tstbit),
!def(NOMPTEMP),
!def(mpq_swap),
True,
!def(DISABLE_DEBUG),
!def(mpf_pow_ui),
!def(mpq_out_str),
