!def(DISABLE_DEBUG),
!def(mpz_tstbit),
!def(mpf_swap),
!def(mpz_swap),
!def(mpf_pow_ui),
!def(HAVE_GETLINE),
!def(mpq_swap),
def(MPS_CATCH_FPE),
True,
!def(mpq_out_str),
