!def(NOMPTEMP),
!def(mpq_out_str),
!def(mpz_swap),
!def(mpq_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpf_pow_ui),
True,
!def(mpf_swap),
!def(mpz_tstbit),
