!def(NOMPTEMP),
!def(mpq_swap),
!def(DISABLE_DEBUG),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(mpq_out_str),
!def(mpf_pow_ui),
!def(mpz_swap),
!def(mpf_swap),
!def(mpz_tstbit),
