!def(mpq_out_str),
!def(DISABLE_DEBUG),
!def(mpz_swap),
def(MPS_CATCH_FPE),
!def(mpf_pow_ui),
True,
!def(mpz_tstbit),
!def(mpf_swap),
!def(HAVE_GETLINE),
!def(mpq_swap),
