!def(mpz_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpq_swap),
!def(DISABLE_DEBUG),
!def(mpz_tstbit),
True,
!def(NOMPTEMP),
!def(mpf_pow_ui),
!def(mpq_out_str),
!def(mpf_swap),
