!def(mpf_pow_ui),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
!def(mpz_tstbit),
!def(DISABLE_DEBUG),
!def(NOMPTEMP),
!def(mpf_swap),
!def(mpq_out_str),
!def(mpz_swap),
!def(mpq_swap),
True,
