!def(mpf_swap),
!def(mpq_swap),
(def(THREAD_SAFE)&!def(NOMPTEMP)),
True,
!def(NOMPTEMP),
!def(mpf_pow_ui),
!def(DISABLE_DEBUG),
!def(mpz_tstbit),
!def(mpq_out_str),
!def(mpz_swap),
