!def(mpz_tstbit),
!def(mpq_swap),
True,
!def(mpz_swap),
!def(mpf_pow_ui),
!def(mpf_swap),
!def(mpq_out_str),
!def(NOMPTEMP),
!def(DISABLE_DEBUG),
