!def(mpq_out_str),
!def(mpf_pow_ui),
!def(HAVE_GETLINE),
!def(mpf_swap),
!def(mpz_tstbit),
!def(mpz_swap),
def(NICE_DEBUG),
def(MPS_CATCH_FPE),
!def(DISABLE_DEBUG),
!def(HAVE_FMEMOPEN),
!def(mpq_swap),
True,
(def(HAVE_VSNPRINTF)&!def(vsnprintf)),
