"index","a","b","c","d","e"
"1020","True","fn","exclusion","Function","2"
"1065","0","0","0","0","0"
"1200","0","0","0","0","0"
"1201","0","0","0","0","0"
"1554","0","0","0","0","0"
"1604","True","severity","additon","Variable","3"
"1604","True","verb","additon","Variable","3"
"1604","True","vimShell","additon","Variable","3"
"1604","True","line","additon","Variable","3"
"1604","True","wstrace","additon","Function","3"
"1604","True","message","additon","Variable","3"
"1604","True","frameid","additon","Variable","3"
"1604","True","markId","additon","Variable","3"
"1604","True","wsdebug","additon","Function","3"
"1604","True","name","additon","Variable","3"
"1604","True","filepos","additon","Variable","3"
"1604","True","label","additon","Variable","3"
"1670","0","0","0","0","0"
"1739","True","name","additon","Variable","3"
"1739","True","markId","exclusion","Variable","3"
"1739","True","help","additon","Variable","3"
"1739","True","frameid","exclusion","Variable","3"
"1739","True","selStartLine","additon","Variable","3"
"1739","True","selection","additon","Variable","3"
"1739","True","selEndLine","additon","Variable","3"
"1739","True","selLength","additon","Variable","3"
"1739","True","verb","additon","Variable","3"
"1739","True","left","additon","Variable","3"
"1739","True","line","exclusion","Variable","3"
"1739","True","clientData","additon","Variable","3"
"1739","True","label","additon","Variable","3"
"1739","True","filepos","additon","Variable","3"
"1739","True","sign","additon","Variable","3"
"1739","True","selEndCol","additon","Variable","3"
"1739","True","senseVerb","additon","Variable","3"
"1739","True","file","additon","Variable","3"
"1739","True","idx","additon","Variable","3"
"1739","True","filename","additon","Variable","3"
"1739","True","message","exclusion","Variable","3"
"1739","True","curLine","additon","Variable","3"
"1739","True","sense","additon","Variable","3"
"1739","True","severity","exclusion","Variable","3"
"1739","True","selStartCol","additon","Variable","3"
"1739","True","curCol","additon","Variable","3"
"1866","0","0","0","0","0"
"1870","True","help","exclusion","Variable","3"
"1870","True","lineno","additon","Variable","3"
"1870","True","filepos","exclusion","Variable","3"
"1870","True","on","additon","Variable","3"
"1870","True","senseVerb","exclusion","Variable","3"
"1870","True","label","exclusion","Variable","3"
"1870","True","name","additon","Variable","3"
"1870","True","verb","exclusion","Variable","3"
"1870","True","delay","additon","Variable","3"
"1870","True","sense","exclusion","Variable","3"
"1870","True","vs","additon","Variable","3"
"1870","True","file","exclusion","Variable","3"
"1870","True","vimShell","exclusion","Variable","3"
"1870","True","left","exclusion","Variable","3"
"1870","True","filename","exclusion","Variable","3"
"1870","True","tip","additon","Variable","3"
"1901","0","0","0","0","0"
"1919","True","tip","exclusion","Variable","2"
"1919","True","value","exclusion","Variable","2"
"1919","True","lineno","exclusion","Variable","2"
"1919","True","sign","exclusion","Variable","2"
"1919","True","delay","exclusion","Variable","2"
"1919","True","idx","exclusion","Variable","2"
"1938","def(FEAT_MBYTE)","c","exclusion","Variable","3"
"1938","True","buf","additon","Variable","3"
"2013","True","lineno","additon","Variable","3"
"2013","True","severity","additon","Variable","3"
"2013","True","selEndCol","exclusion","Variable","3"
"2013","True","on","additon","Variable","3"
"2013","True","message","additon","Variable","3"
"2013","True","name","additon","Variable","3"
"2013","True","verb","exclusion","Variable","3"
"2013","True","selLength","exclusion","Variable","3"
"2013","True","filename","additon","Variable","3"
"2013","True","curLine","exclusion","Variable","3"
"2013","True","selStartCol","exclusion","Variable","3"
"2013","True","filepos","exclusion","Variable","3"
"2013","True","line","additon","Variable","3"
"2013","True","selStartLine","exclusion","Variable","3"
"2013","True","clientData","exclusion","Variable","3"
"2013","True","curCol","exclusion","Variable","3"
"2013","True","vs","exclusion","Variable","3"
"2013","True","label","exclusion","Variable","3"
"2013","True","tip","additon","Variable","3"
"2013","True","selEndLine","exclusion","Variable","3"
"2013","True","selection","exclusion","Variable","3"
"2013","True","value","additon","Variable","3"
"2090","True","p","additon","Variable","3"
"2153","True","markId","exclusion","Variable","2"
"2153","True","line","exclusion","Variable","2"
"2153","True","filename","exclusion","Variable","2"
"2153","True","severity","exclusion","Variable","2"
"2153","True","message","exclusion","Variable","2"
"2153","True","on","exclusion","Variable","2"
"2169","True","filename","additon","Variable","2"
"2169","True","on","additon","Variable","2"
"2169","True","message","additon","Variable","2"
"2169","True","markId","additon","Variable","2"
"2169","True","line","additon","Variable","2"
"2169","True","severity","additon","Variable","2"
"2170","True","severity","exclusion","Variable","2"
"2170","True","filename","exclusion","Variable","2"
"2170","True","markId","exclusion","Variable","2"
"2170","True","message","exclusion","Variable","2"
"2170","True","line","exclusion","Variable","2"
"2170","True","on","exclusion","Variable","2"
