def(FEAT_TOOLBAR),
def(__BORLANDC__),
def(FEAT_CLIPBOARD),
!def(FEAT_GUI_W32),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
!def(PROTO),
!def(NO_CONSOLE),
!def(FEAT_BEVAL),
def(FEAT_RIGHTLEFT),
def(DEBUG),
True,
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(FEAT_FKMAP),
def(FEAT_SUN_WORKSHOP),
def(NBDEBUG),
def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(PROTO),
