!def(FEAT_RIGHTLEFT),
def(JUMPLIST_ROTATE),
def(WSDEBUG),
def(PROTO),
!def(NO_CONSOLE),
def(__BORLANDC__),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
!def(INET_SOCKETS),
def(FEAT_RIGHTLEFT),
def(FEAT_TOOLBAR),
def(FEAT_CLIPBOARD),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_MBYTE),
!def(FEAT_MBYTE),
!def(PROTO),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
True,
def(NBDEBUG),
!def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
def(FEAT_GUI),
def(DEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
