!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_RIGHTLEFT),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
def(_WIN32),
def(WSDEBUG),
def(INET_SOCKETS),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
def(NBDEBUG),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(MAIN),
!def(FEAT_GUI_W32),
def(DEBUG),
True,
def(FEAT_TERMRESPONSE),
def(WIN32),
!def(NO_CONSOLE),
