!def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
def(WSDEBUG_TRACE),
True,
!def(FEAT_GUI_W32),
def(PROTO),
def(FEAT_BEVAL),
def(DEBUG),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(PROTO),
def(FEAT_TOOLBAR),
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
def(LESSTIF_VERSION),
def(FEAT_GUI),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
!def(NO_CONSOLE),
def(FEAT_SUN_WORKSHOP),
