def(RISCOS),
def(FEAT_RIGHTLEFT),
def(NBDEBUG),
def(__BORLANDC__),
True,
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
def(WSDEBUG),
!def(RISCOS),
!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
!def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
def(FEAT_FKMAP),
def(DEBUG),
!def(FEAT_MBYTE),
!def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_EMACS_TAGS),
def(WSDEBUG_TRACE),
def(MCH_WRITE_DUMP),
def(FEAT_MBYTE),
!def(FEAT_EMACS_TAGS),
def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(FEAT_GUI),
def(INET_SOCKETS),
