def(RISCOS),
def(FEAT_BEVAL),
!def(RISCOS),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
!def(PROTO),
def(FEAT_GUI_GTK),
def(DEBUG),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
def(NBDEBUG),
!def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
True,
def(PROTO),
def(LESSTIF_VERSION),
!def(FEAT_RIGHTLEFT),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
def(WSDEBUG),
!def(FEAT_BEVAL),
!def(FEAT_MBYTE),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
