!def(PROTO),
!def(RISCOS),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(RISCOS),
def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_MBYTE),
def(NBDEBUG),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(WSDEBUG),
def(__BORLANDC__),
def(FEAT_TERMRESPONSE),
!def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_FKMAP),
def(FEAT_GUI),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(DEBUG),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL),
def(PROTO),
!def(INET_SOCKETS),
!def(FEAT_RIGHTLEFT),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
True,
