def(FEAT_CLIPBOARD),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
!def(FEAT_EMACS_TAGS),
!def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(WIN32),
True,
def(PROTO),
def(DEBUG),
def(FEAT_GUI),
def(_WIN32),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(WSDEBUG),
def(FEAT_BEVAL),
def(FEAT_RIGHTLEFT),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_FKMAP),
def(MAIN),
def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
def(LESSTIF_VERSION),
def(FEAT_EMACS_TAGS),
