!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(FEAT_PROFILE),
def(__MINT__),
def(FEAT_GUI_W32),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(PROTO),
def(FEAT_TERMRESPONSE),
!def(FEAT_PROFILE),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
def(WSDEBUG),
def(FEAT_TOOLBAR),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_BEVAL),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_JOB_CHANNEL),
!def(FEAT_GUI_W32),
def(_WIN32),
True,
def(FEAT_MBYTE),
def(MAIN),
def(WIN32),
