def(WSDEBUG_SENSE),
def(MAIN),
def(WSDEBUG_TRACE),
def(WSDEBUG),
!def(FEAT_PROFILE),
def(FEAT_BEVAL_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_JOB_CHANNEL),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_GUI),
def(_WIN32),
def(__MINT__),
True,
def(LESSTIF_VERSION),
def(DEBUG),
def(FEAT_TERMRESPONSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(FEAT_PROFILE),
def(NBDEBUG),
