!def(PROTO),
def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(FEAT_FKMAP),
def(INET_SOCKETS),
def(DEBUG),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
True,
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(FEAT_BEVAL),
!def(FEAT_BEVAL),
def(__BORLANDC__),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
def(FEAT_GUI_W32),
!def(INET_SOCKETS),
