!def(INET_SOCKETS),
def(NBDEBUG),
def(JUMPLIST_ROTATE),
def(PROTO),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(MAIN),
True,
!def(FEAT_PROFILE),
def(DEBUG),
def(LESSTIF_VERSION),
def(WIN32),
def(__MINT__),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_JOB_CHANNEL),
def(_WIN32),
def(FEAT_PROFILE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
