(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(PROTO),
def(FEAT_GUI),
def(INET_SOCKETS),
def(FEAT_JOB_CHANNEL),
def(_WIN32),
def(MAIN),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TERMRESPONSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG),
def(NBDEBUG),
def(FEAT_TOOLBAR),
def(__MINT__),
def(WIN32),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
True,
def(FEAT_BEVAL),
def(DEBUG),
def(WSDEBUG_SENSE),
!def(INET_SOCKETS),
