!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
def(FEAT_FKMAP),
def(FEAT_TOOLBAR),
def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(__BORLANDC__),
!def(FEAT_GUI_W32),
def(FEAT_CLIPBOARD),
def(FEAT_BEVAL),
def(WSDEBUG),
!def(NO_CONSOLE),
def(PROTO),
def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
def(MCH_WRITE_DUMP),
def(DEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
!def(PROTO),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
