!def(FEAT_EMACS_TAGS),
!def(PROTO),
def(INET_SOCKETS),
def(NBDEBUG),
def(PROTO),
def(FEAT_EMACS_TAGS),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_W32),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
!def(FEAT_MBYTE),
!def(NO_CONSOLE),
True,
def(DEBUG),
def(FEAT_TOOLBAR),
!def(RISCOS),
def(FEAT_RIGHTLEFT),
def(FEAT_BEVAL),
def(__BORLANDC__),
def(MCH_WRITE_DUMP),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
def(RISCOS),
def(WSDEBUG),
def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_GTK),
