!def(FEAT_MBYTE),
def(PROTO),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(EBCDIC),
!def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
!def(EBCDIC),
def(LESSTIF_VERSION),
def(FEAT_FKMAP),
!def(RISCOS),
def(WSDEBUG_TRACE),
def(__BORLANDC__),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
!def(NO_CONSOLE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
!def(PROTO),
True,
!def(FEAT_RIGHTLEFT),
def(FEAT_MBYTE),
def(DEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
def(RISCOS),
!def(FEAT_GUI_GTK),
(!def(HAVE_GTK2)&def(FEAT_GUI_GTK)),
def(FEAT_GUI),
