(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_GUI),
def(WIN32),
def(MAIN),
def(LESSTIF_VERSION),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
def(NBDEBUG),
True,
def(INET_SOCKETS),
def(WSDEBUG),
def(DEBUG),
!def(INET_SOCKETS),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
def(__MINT__),
def(FEAT_JOB_CHANNEL),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(PROTO),
(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(FEAT_TERMGUICOLORS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(JUMPLIST_ROTATE),
def(FEAT_TERMRESPONSE),
