!def(PROTO),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
!def(INET_SOCKETS),
def(PROTO),
def(JUMPLIST_ROTATE),
!def(FEAT_BEVAL),
!def(FEAT_MBYTE),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_RIGHTLEFT),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_MBYTE),
True,
def(WSDEBUG_TRACE),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(FEAT_BEVAL),
def(__BORLANDC__),
def(LESSTIF_VERSION),
def(FEAT_CLIPBOARD),
def(FEAT_FKMAP),
