!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(WSDEBUG),
def(WSDEBUG_SENSE),
def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
def(PROTO),
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(MCH_WRITE_DUMP),
def(FEAT_GUI_W32),
True,
def(LESSTIF_VERSION),
def(DEBUG),
def(FEAT_BEVAL),
!def(PROTO),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(__BORLANDC__),
def(NBDEBUG),
