!def(INET_SOCKETS),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG),
def(FEAT_MBYTE),
def(FEAT_TERMRESPONSE),
def(PROTO),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(__MINT__),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(DEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(LESSTIF_VERSION),
True,
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(_WIN32),
def(WIN32),
!def(FEAT_PROFILE),
def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(NBDEBUG),
def(MAIN),
