!def(EBCDIC),
!def(FEAT_GUI_W32),
def(FEAT_FKMAP),
!def(FEAT_RIGHTLEFT),
def(FEAT_GUI_MOTIF),
def(FEAT_MBYTE),
def(JUMPLIST_ROTATE),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))),
!def(FEAT_BEVAL),
def(DEBUG),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
def(FEAT_GUI_W32),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_GTK)),
def(FEAT_GUI_GTK),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
def(FEAT_RIGHTLEFT),
!def(NO_CONSOLE),
(!def(FEAT_GUI_MOTIF)&(def(FEAT_GUI_GTK)|def(FEAT_GUI_W32))&def(FEAT_GUI_W32)),
def(FEAT_BEVAL),
!def(FEAT_GUI_MOTIF),
(!def(FEAT_GUI_MOTIF)&def(FEAT_GUI_W32)),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
def(EBCDIC),
!def(WIN64),
def(NBDEBUG),
def(WIN64),
!def(RISCOS),
True,
def(LESSTIF_VERSION),
(!def(FEAT_BEVAL)&def(FEAT_NETBEANS_INTG)),
