def(ABORT_ON_INTERNAL_ERROR),
!def(FEAT_BEVAL_GUI),
True,
def(WSDEBUG),
!def(UNIX),
def(WIN32),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_TRACE)),
def(NBDEBUG),
def(INET_SOCKETS),
!def(INET_SOCKETS),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(UNIX),
def(__MINT__),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
def(MAIN),
def(JUMPLIST_ROTATE),
def(DEBUG),
def(PROTO),
def(FEAT_PROFILE),
!def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(!def(FEAT_BEVAL_GUI)&def(WSDEBUG_SENSE)),
def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TERMRESPONSE),
def(_WIN32),
def(FEAT_TOOLBAR),
def(FEAT_JOB_CHANNEL),
!def(FEAT_PROFILE),
