!def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(WSDEBUG_SENSE),
True,
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(PROTO),
def(__BORLANDC__),
def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(WSDEBUG),
def(NBDEBUG),
!def(PROTO),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(DEBUG),
!def(NO_CONSOLE),
def(LESSTIF_VERSION),
